dim,name,rmse,mae
0,001001,28.88396334634917,25.55720644692742
1,001002,20.075223799300293,15.987856306532967
2,001003,20.4503409817259,18.488870770685633
3,001004,11.922663692734975,9.661309720056666
4,001005,19.968890074626586,14.586482879693593
5,001006,15.04336302572556,9.129783963757015
6,001007,11.72481604159506,9.153991372089312
7,001008,15.33650574458384,12.093317820083794
8,001009,12.53528189747127,10.443207178028072
9,001010,13.54840070533798,9.294698001459471
10,001011,14.209100847580384,12.22226937726321
11,001012,13.505416078730843,11.148008390977958
12,001013,21.894044979964924,17.252508835117407
13,001014,,
14,001015,13.677552353768418,10.04363725806335
15,001016,9.816780142023195,7.992343976397354
16,001017,10.740379229947118,8.087354533638381
17,001018,18.67693167663815,14.733751466111968
18,001019,14.373905708298468,12.33685478441157
19,001020,24.00652727628119,21.188119120909835
20,001021,13.97096937348084,11.29453650405371
21,001022,20.98398360589369,17.416672343744953
22,001023,22.350938966168812,17.99273490029167
23,001024,16.14277441182328,13.079068215979879
24,001025,25.98932994915442,15.962900064963508
25,001026,73.57259069979955,73.57259069979955
26,001027,17.62467115178803,14.941761700557157
27,001028,32.79743540503069,28.354515289468132
28,001029,23.878170944049735,19.736762396840863
29,001030,24.29645278163889,19.903989815135862
30,001031,14.660768586978953,12.008951655273483
31,001032,14.904712300246665,10.37821273149727
32,001033,23.793257118251532,16.219291403666812
33,001034,51.405520950487606,46.817037743795346
34,001035,,
35,001036,22.133254000496073,16.891338958375545
