dim,name,rmse,mae
0,dim_0,2.0250311631873807,1.5872756229016356
1,dim_1,2.6761143724161784,1.9964965280994178
2,dim_2,3.0641958359760126,2.4247016706189637
3,dim_3,1.9382968675586365,1.588706197407184
4,dim_4,2.5550671050154854,2.035876832879338
5,dim_5,3.2703714281619116,2.60044613229138
6,dim_6,2.0007894740407846,1.515563901062468
7,dim_7,2.4631336363442404,1.789091399438579
8,dim_8,3.1843207063624566,2.3984012580346414
9,dim_9,2.1657795182241943,1.9259044266048924
10,dim_10,2.849552644524708,2.1374267945276153
11,dim_11,3.2821039913808745,2.6916639915236127
12,dim_12,2.062676695413426,1.7615040137979574
13,dim_13,2.8299014543445717,2.173367877149661
14,dim_14,3.3247163025795836,2.658048947128198
