dim,name,rmse,mae
0,dim_0,0.28498625568797625,0.23386542469350474
1,dim_1,0.9770813827521547,0.8199637568895156
2,dim_2,1.2907267246422753,0.5534987109877665
3,dim_3,0.347678744882684,0.269596727238926
4,dim_4,1.5902773707185955,0.7121119413237568
5,dim_5,0.6398395227422822,0.3843155385928615
6,dim_6,0.7324434966686776,0.646059321735893
7,dim_7,1.209672970285449,0.6966817830731034
8,dim_8,2.1272570778373145,1.08921883481979
9,dim_9,1.0660050431173802,0.712657629227429
10,dim_10,0.9089852228987143,0.5304041490572151
11,dim_11,1.0715796039221779,0.5016517257705472
12,dim_12,0.5944338383042649,0.46108892244021443
13,dim_13,0.5530008220463675,0.2791142763124432
14,dim_14,0.43946488473713313,0.2857302644121616
15,dim_15,0.37605439061967766,0.2594618212217542
16,dim_16,1.3818809165086372,0.5923924644353658
17,dim_17,0.815499367957716,0.6820920819048742
18,dim_18,0.5957109554696286,0.48670680239814024
19,dim_19,0.5806377259373751,0.2483791225736111
20,dim_20,1.6150283105484204,0.695355465611315
21,dim_21,0.8304650124306878,0.7033607966968164
22,dim_22,1.527762379256793,0.758575572706049
23,dim_23,1.6834023752524458,1.094439886612947
24,dim_24,0.3570055039163563,0.28892305988113753
25,dim_25,0.7642705309691509,0.5097840388363405
26,dim_26,1.996610316563684,0.9032939868917758
27,dim_27,1.0674658761491307,0.5548936098404486
28,dim_28,1.337225650135112,0.8077600717604652
29,dim_29,0.7882324072953577,0.33192131063389696
30,dim_30,1.2824191094900492,0.6981378789963146
31,dim_31,0.34334594939644364,0.237007378712758
32,dim_32,0.49154865323243463,0.43420754043982007
33,dim_33,0.7375153175358754,0.5056462093969096
34,dim_34,0.8205755456971081,0.40815927594361473
35,dim_35,0.6517519692815092,0.39081137515482917
36,dim_36,1.1838041536294024,0.5886122339618953
37,dim_37,0.7903353200602456,0.4220849723803936
38,dim_38,0.9198449426516129,0.5881441412239918
39,dim_39,0.3256547062492714,0.27867053204461883
40,dim_40,0.5937019188324272,0.4589897818855027
41,dim_41,1.3568149755265304,0.5275978939937025
42,dim_42,0.7068246972227983,0.37762628023427497
43,dim_43,0.6721762008724186,0.5512451702925276
44,dim_44,0.7038360304029216,0.630892538647586
45,dim_45,0.5878917939663826,0.3495711882384579
46,dim_46,0.438739868439542,0.342812752968343
47,dim_47,2.0508273192573765,1.0403479065552237
48,dim_48,0.3995828430967896,0.24843217662461856
49,dim_49,0.7848178031978563,0.4946773289923406
50,dim_50,1.6970105508428504,0.7083485748656504
51,dim_51,1.7107739385023761,0.7311910816544984
52,dim_52,0.4752350836639562,0.3460145684534015
53,dim_53,2.283113185784942,0.7298874940101279
54,dim_54,1.5362927344493509,1.0074310093174808
55,dim_55,2.1731067358295024,1.110463372783847
56,dim_56,0.9724066698656759,0.654804741410078
57,dim_57,1.138568366267679,0.6322605698881889
58,dim_58,0.46382221975818133,0.3896390199782255
59,dim_59,0.6938773924958962,0.5639029258291292
60,dim_60,1.457461792497911,0.931810315713608
61,dim_61,1.5894984979664284,0.9876622487168263
62,dim_62,0.7201620782153252,0.5329518394321227
63,dim_63,0.6547341156839364,0.38555667092555385
64,dim_64,0.3914525016272744,0.3588518149970668
65,dim_65,0.8598000010137213,0.4063921156228577
66,dim_66,1.2578959329242356,0.6388428345084135
67,dim_67,0.5150232591217934,0.4055638033202885
68,dim_68,2.087498060579892,1.227737811653079
69,dim_69,0.6753966354254886,0.5438007168481256
70,dim_70,0.9418476186478077,0.612897584347633
71,dim_71,1.1536032554667581,0.7314413636409872
72,dim_72,0.9757593433578156,0.8347860490602479
73,dim_73,0.7909229735477508,0.7423939072983545
74,dim_74,0.6183435642634129,0.49634072634931226
75,dim_75,0.3654016719832013,0.31712201307276366
76,dim_76,0.4560999715766836,0.26470282733475414
77,dim_77,1.2819090352686622,0.9338392200864412
78,dim_78,1.0982621879752663,0.7623173161389589
79,dim_79,0.7448562253023133,0.572597389005262
80,dim_80,0.9654533953108847,0.7502877021739665
81,dim_81,1.0321470594134448,0.6772457073973585
82,dim_82,0.5578744556956802,0.42081269995882453
83,dim_83,0.6123775074582669,0.423529012937946
84,dim_84,1.6965654512054458,0.8454743810927721
85,dim_85,1.2981056318777167,0.6459080538611123
86,dim_86,1.234633619786844,0.6521014557010609
87,dim_87,2.170696395419589,0.926144483316875
88,dim_88,0.6058713388635042,0.4560754738384548
89,dim_89,2.3268031816575228,0.9837274049297499
90,dim_90,0.6639572366344385,0.5462185707824252
91,dim_91,1.5778888410470369,1.0320670890429395
92,dim_92,1.5406433332125604,1.052522269465483
93,dim_93,0.7132770116222896,0.6064356838000494
94,dim_94,1.8222252504093686,1.4120193648770396
95,dim_95,1.2091311140837466,0.75164042908287
96,dim_96,2.038808375374407,1.025672001773752
97,dim_97,0.7873442587718683,0.5422320912478666
98,dim_98,0.6921035903209383,0.4551933518093144
99,dim_99,0.6648356873919927,0.45568962722798495
