dim,name,rmse,mae
0,001001,7.606586717248616,6.286869781793019
1,001002,17.39018601093661,13.58866377375156
2,001003,14.089749773653558,12.268108213563446
3,001004,12.452248656458998,10.195690368557445
4,001005,18.889246988536204,14.418205368610458
5,001006,10.709269983346614,9.539119833807588
6,001007,15.247015750178951,12.519629490050002
7,001008,14.008123409368617,11.340349579711429
8,001009,10.671436363764181,6.774288154976222
9,001010,18.067030032309017,12.028342059606821
10,001011,14.390563796563562,10.339475992980113
11,001012,6.786156194108137,5.429783298210693
12,001013,16.676143374685868,12.697861584479142
13,001014,,
14,001015,16.009506708117005,11.73894518744877
15,001016,11.775094509622134,9.231109196179816
16,001017,19.251845338262868,16.124108771654786
17,001018,18.742576204263298,14.6042786695922
18,001019,20.56500284194876,16.249650199445217
19,001020,16.49519411086719,13.597629653796162
20,001021,29.394624399212812,25.284725060779483
21,001022,15.473289402459105,12.001041624443053
22,001023,13.784522645081026,11.197226828538037
23,001024,13.313630352314496,10.56231429365611
24,001025,14.933319295315473,8.919083437988895
25,001026,,
26,001027,8.792639185201061,7.286542039419172
27,001028,8.89937888591716,6.846782907101863
28,001029,19.126010869488976,15.674348806510467
29,001030,12.529108997792425,9.881927415125086
30,001031,14.83105748814961,10.821775193844609
31,001032,11.90897483128934,9.336349518325259
32,001033,17.349711782406974,12.608497783381273
33,001034,24.488378282346037,17.39426732824113
34,001035,,
35,001036,12.644922440757954,9.876264492519402
