Method,RMSE,MAE
RDE-GPR,7.52595108966046,6.2309593501564295
GRU,11.24977039593645,9.302284505208238
LSTM,11.209287279195498,9.39750390625002
GRU-ODE-Bayes,9.621935368590536,8.076078342013968
