dim,name,rmse,mae
0,dim_0,2.7504677803321336,1.8463278191153372
1,dim_1,5.363904000762879,4.473410098510863
2,dim_2,5.207373589128558,4.383782337511259
3,dim_3,3.310595350433773,2.394676299666249
4,dim_4,7.737477593808898,5.553515376575922
5,dim_5,8.597039050577493,5.815679133343257
6,dim_6,7.630687174295316,4.864313210220244
7,dim_7,5.119188359334068,3.9295814737832315
8,dim_8,5.909673686699074,3.9442424226067274
9,dim_9,3.1542629793189336,2.066258968338929
10,dim_10,5.581106806300093,4.053309427619068
11,dim_11,9.012418010562948,7.335148603808923
12,dim_12,1.923924129271819,1.5979885435872323
13,dim_13,7.731809526146388,6.157015899002735
14,dim_14,5.941543926552691,4.951826468601295
