dim,name,rmse,mae
0,dim_0,7.063483731552995,5.472922400261018
1,dim_1,11.560272451453068,8.827885918402588
2,dim_2,11.218428839708144,7.8951233621906765
3,dim_3,4.2427373844295255,3.24603327209217
4,dim_4,16.59738515184745,12.156397650114776
5,dim_5,3.9016984226338574,2.7476535795646844
6,dim_6,4.973983474665485,3.7304397611477738
7,dim_7,8.7297006102761,6.889635657731452
8,dim_8,23.090511965578475,16.35116283618163
9,dim_9,15.061079732028894,12.889653683717706
10,dim_10,6.708263753234519,5.764723186705668
11,dim_11,13.21989324870785,10.062180424189577
12,dim_12,4.7885892126033065,3.576981625707263
13,dim_13,4.544921897884167,3.8800377101375174
14,dim_14,5.280252836153776,4.5364018727611235
15,dim_15,8.280626657840518,6.192539344396667
16,dim_16,11.07397257851141,8.177626736826307
17,dim_17,4.043034356508689,3.640990466329954
18,dim_18,3.283996229898959,2.4856370470531335
19,dim_19,3.171606869700287,2.2871339542174747
20,dim_20,4.721693581987221,3.774183082663453
21,dim_21,7.547711033859877,6.613011541890489
22,dim_22,5.656290975571754,3.8558673786079654
23,dim_23,19.548289306643497,15.862942084325692
24,dim_24,4.597716819447181,3.8544679944377074
25,dim_25,7.265416319479783,5.8779096936578785
26,dim_26,11.251946578554398,9.376554452640379
27,dim_27,5.6391862858299975,4.348220642693873
28,dim_28,12.564501164328146,9.932530565103942
29,dim_29,17.393095927713752,13.892829211097952
30,dim_30,12.754027156907366,11.71047522526527
31,dim_31,7.452795459796123,6.4113250948924145
32,dim_32,4.510118156065776,3.9223192318053384
33,dim_33,22.041256141212493,17.87502083892599
34,dim_34,5.0200872869176045,4.341239891271913
35,dim_35,10.349259246334627,8.113141059020872
36,dim_36,8.747921386545686,7.058603223667992
37,dim_37,4.197759399192121,3.3214801430027308
38,dim_38,4.4580219773967045,3.369593719085769
39,dim_39,4.166167412493621,3.175884072221669
40,dim_40,11.674206965648589,9.18229248799728
41,dim_41,15.25754195272504,13.392958965773166
42,dim_42,3.3716819675203618,2.6222230658682557
43,dim_43,11.155964711706124,8.843786692216298
44,dim_44,9.70013242759942,8.289007260193952
45,dim_45,7.581404626092752,6.284117873646918
46,dim_46,7.467812534385184,5.862282432395809
47,dim_47,8.05456802802502,6.329630408940351
48,dim_48,8.165878416847452,5.951196699675401
49,dim_49,5.256299157312783,4.467574497578109
50,dim_50,4.307465062611423,3.6780980614567014
51,dim_51,13.831621362286644,11.264645970882025
52,dim_52,9.499982035952662,7.716682055176932
53,dim_53,15.409909046043682,12.464547491962852
54,dim_54,15.653230237406069,14.315883750037056
55,dim_55,7.708397574116413,6.5088678544793055
56,dim_56,17.409403762377575,14.76995744029109
57,dim_57,13.667038763927348,12.220657493553459
58,dim_58,7.830588300044498,6.636884183191199
59,dim_59,16.814742917739075,13.248726785012092
60,dim_60,10.559414340824098,8.385061680257422
61,dim_61,15.994306207672144,13.272858390775824
62,dim_62,9.26557348658441,7.2247927238485135
63,dim_63,6.920476980616017,5.8035186112046855
64,dim_64,7.421253538763657,6.197422765827866
65,dim_65,3.0893574640046686,2.626247911927302
66,dim_66,8.447864936661468,6.3546193916225295
67,dim_67,15.854773510477358,13.11295756925102
68,dim_68,9.05310983667073,7.165272768268496
69,dim_69,7.734148877745235,5.32473831843674
70,dim_70,4.083834269120563,3.1984820941551972
71,dim_71,10.310415571422398,8.712709825194711
72,dim_72,5.616409770118648,4.440209501835243
73,dim_73,13.41591148783774,9.84728040781204
74,dim_74,7.35217377355057,6.199394786496016
75,dim_75,14.699137606981333,11.784946908424361
76,dim_76,7.3377543230085855,6.03329928141383
77,dim_77,7.982737276921961,6.917744910731908
78,dim_78,7.648543814871021,6.442472063277124
79,dim_79,13.014339260813456,11.673437195253396
80,dim_80,6.304878914589481,4.681675205708157
81,dim_81,4.186961850919457,3.6396097150163413
82,dim_82,5.234989684930854,4.382656010670029
83,dim_83,3.792937707228078,3.2775436890807783
84,dim_84,4.617367027613305,3.9697265891096363
85,dim_85,3.834486087878838,2.830366766960841
86,dim_86,13.385783192149072,11.72404765025704
87,dim_87,6.006646139221,4.74307912093047
88,dim_88,7.3254519850632915,5.471411893487146
89,dim_89,12.706005604972484,8.718705369451593
90,dim_90,6.952722048495693,5.939419031526347
91,dim_91,4.310762607750238,2.9470596633412045
92,dim_92,8.294844627818899,6.913312106715907
93,dim_93,4.810971742633306,4.046779927939541
94,dim_94,11.80147386499443,9.814191928154997
95,dim_95,4.822649114549328,3.5980299882144635
96,dim_96,9.097435583848283,7.182851173955773
97,dim_97,10.437757053706436,7.663513589086746
98,dim_98,7.502069460288006,6.681010809007654
99,dim_99,6.564643341758945,5.390688816516201
