7.851759613930135995e-01,6.075448519014383653e-01,8.083973481164611341e-01,1.996737821583597361e-01,1.705241236872915289e-01,3.046137691733706854e-01,5.142344384136116053e-01,6.505159298527951606e-02,9.767211400638386998e-02,5.924145688620424677e-01,9.488855372533332444e-01,6.842330265121568944e-01,4.645041271999772459e-02,9.656320330745593594e-01,4.401524937396013026e-01
8.414546103451348014e-01,1.421672256273194712e+00,7.532508673642815955e-01,2.237752760018874021e-01,3.850042803097826760e-01,2.753715818912031432e-01,4.408271093874702173e-01,5.757026808734106993e-01,9.236615944586605564e-02,8.063148631839049951e-01,1.621191394539898800e+00,6.447199780138116454e-01,3.790464237617957588e-01,1.122501031598891030e+00,4.020976900951098720e-01
1.171778637420133329e+00,2.382374401840420930e+00,7.412839097285113255e-01,3.185672142933538287e-01,6.477649219856755902e-01,2.519073452894707854e-01,5.619505618384561529e-01,1.074646166770362399e+00,9.691165943418485196e-02,1.212888246995135422e+00,2.574391001272440693e+00,6.507774224855512601e-01,7.015371140810162665e-01,1.618229904191505364e+00,3.859443495437359650e-01
1.772763531898470912e+00,3.764571784612920080e+00,8.194587171930821645e-01,4.883591700996843255e-01,1.033514166730727935e+00,2.376059615047708129e-01,8.368560288286035487e-01,1.750437141667420260e+00,1.205143899934907753e-01,1.871813277148984600e+00,4.021265552848120706e+00,7.572930908535414618e-01,1.135829461568846233e+00,2.482351888131061557e+00,4.103648320797936289e-01
2.737040387504812600e+00,5.861202621274433255e+00,1.105329593079519501e+00,7.627716624571376780e-01,1.629658429497400141e+00,2.415266745120003833e-01,1.299032887455239926e+00,2.772832377355178402e+00,1.901335589681911187e-01,2.904072241037293001e+00,6.243052939849601302e+00,1.097333010831010647e+00,1.789902012972718115e+00,3.862342268622441566e+00,5.260438929331550106e-01
4.237217767800373736e+00,9.044815194739431519e+00,1.879480846654218107e+00,1.196588940723692263e+00,2.561842923430672769e+00,2.864589031214058168e-01,2.035185405976831952e+00,4.359583115599508396e+00,3.724896479805194782e-01,4.499802627641514619e+00,9.617557734048892470e+00,1.987658989520268538e+00,2.801363712410176454e+00,6.015004583743064792e+00,8.578477490888255508e-01
6.525802697033592281e+00,1.373580455201827277e+01,3.790586827341429377e+00,1.878294712709879910e+00,4.020233965618872141e+00,4.288931257374226647e-01,3.190654732508227287e+00,6.820220502934516205e+00,8.307850089812606198e-01,6.923802391628857578e+00,1.455599082035843495e+01,4.155890502921216978e+00,4.366608975703867301e+00,9.312603329220758397e+00,1.706519859650112991e+00
9.893469718657746270e+00,2.008053626018729076e+01,8.225555641861538092e+00,2.945262756649370317e+00,6.289084830365229806e+00,8.074659353220987601e-01,4.984981160178281634e+00,1.057107624492598141e+01,1.957567744488942552e+00,1.046168059428040387e+01,2.110159005760328554e+01,9.129958478333490390e+00,6.756246049166908740e+00,1.418211525637302906e+01,3.771854747129135266e+00
1.443325197709487107e+01,2.677498812589418975e+01,1.757404415257503771e+01,4.602778392419032194e+00,9.763668622181235435e+00,1.756943480565292148e+00,7.714014017733943795e+00,1.602476419755865678e+01,4.657202623752918491e+00,1.513430249606514977e+01,2.756528335417221598e+01,1.940139718705227523e+01,1.027086492717906552e+01,2.072991518367128450e+01,8.550428799672609159e+00
1.928688270698560459e+01,2.860976826966299313e+01,3.354036571121926613e+01,7.131901634408270851e+00,1.487452625604465872e+01,4.055801486512189413e+00,1.165955250238184426e+01,2.300504309439282480e+01,1.078984332953217340e+01,1.984655394461542599e+01,2.802276289874835058e+01,3.614797874933347543e+01,1.497062161565062155e+01,2.741630997513723855e+01,1.856994514129084806e+01
2.148512609121069517e+01,1.736127578061847743e+01,5.013986251580146813e+01,1.082464770593610659e+01,2.163380554397710753e+01,9.347981575063643689e+00,1.667142524076113830e+01,2.891662276867890569e+01,2.307791612953512583e+01,2.131293490380314637e+01,1.470201391336181018e+01,5.166241046516959301e+01,1.982895116966547278e+01,2.844399572160768841e+01,3.530924592129980510e+01
1.737273974238724605e+01,-3.099618832286840764e+00,5.268395210136389295e+01,1.565545626365603482e+01,2.810760019919221975e+01,2.026908143767586168e+01,2.107408051456766529e+01,2.623203139220522218e+01,4.133752102595504141e+01,1.623875296656569844e+01,-5.551988454000952977e+00,5.173919179888266484e+01,2.156000905325938177e+01,1.556657420706409667e+01,5.149701184684639799e+01
8.476045850194658726e+00,-1.510928753575909766e+01,4.288894129983722792e+01,2.034419941592063097e+01,2.777842299370236390e+01,3.772991876846979409e+01,2.090295479076313612e+01,8.772121815740973716e+00,5.406784317182504651e+01,7.091613256761958972e+00,-1.575883292073334907e+01,4.158903239883670011e+01,1.661058055991918181e+01,-5.146139436900669217e+00,5.225028085276154144e+01
1.050060923594771101e-01,-1.707352097553131998e+01,3.537548555475004974e+01,2.131981081882555173e+01,1.299792973780083472e+01,5.274810459063417056e+01,1.387261809436949811e+01,-1.041958077080005296e+01,4.939656579991297036e+01,-9.592677975657284417e-01,-1.693439066865560250e+01,3.494874253468071146e+01,7.271096691397675116e+00,-1.589448849124215712e+01,4.202331080377333450e+01
-5.559284369780684187e+00,-1.589852224171473871e+01,3.319834280354824330e+01,1.548074008858845652e+01,-7.285547096855978566e+00,5.126894385728460435e+01,4.281284183131692345e+00,-1.727506886471057612e+01,3.912785189173833800e+01,-6.242204201604458547e+00,-1.554615608779009150e+01,3.337167264713495030e+01,-1.037559409322134973e+00,-1.716406008216924306e+01,3.526639957703773121e+01
