Dataset,NeuralCDE_RMSE,NeuralCDE_MAE,GRU-ODE-Bayes_RMSE,GRU-ODE-Bayes_MAE,SSSD_RMSE,SSSD_MAE,RDE-Delay_RMSE,RDE-Delay_MAE
Lorenz63,6.0479,4.2245,5.9694,4.0290,8.7606,7.1379,0.2161,2.0404
Lorenz96,9.9390,7.1588,4.1047,3.2571,4.0840,3.2647,N/A,N/A
PM2.5,13.7881,9.8529,21.0400,13.9304,90.7242,86.1022,N/A,N/A
EEG,17.0419,12.2728,6.2363,5.1884,63.0682,56.5770,N/A,N/A
