dim,name,rmse,mae
0,dim_0,6.775294980945222,4.40723809342864
1,dim_1,9.482468215150028,6.881758157099017
2,dim_2,2.6471768492014722,1.9730469497221748
3,dim_3,5.866932027788917,3.5629193823471312
4,dim_4,7.489192154881028,4.6758002442581565
5,dim_5,3.8415545264041793,2.7646247762130898
6,dim_6,5.951506732437244,3.9036432020406346
7,dim_7,6.768894865698639,4.8790811641873635
8,dim_8,9.52623394990502,6.4653353515948
9,dim_9,3.901074890284024,2.9702322452942873
10,dim_10,5.190367594044819,4.197574448880507
11,dim_11,4.235834247727723,3.695087580113559
12,dim_12,3.9130460192845353,2.797386103552363
13,dim_13,4.45243319013489,3.47277713152027
14,dim_14,4.379470425045161,3.7887136150225635
